SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1131230,116021312
1131231,116021312
1131232,116021312
1131233,116021312
1131301,116031313
1131302,116031313
1131303,116031313
1131304,116031313
1131305,116031313
1131306,116031313
1131307,116031313
1131308,116031313
1131309,116031313
1131310,116031313
1131311,116031313
1131312,116031313
1131313,116031313
1131314,116031313
1131315,116031313
1131316,116031313
1131317,116031313
1131318,116031313
1131319,116031313
1131320,116031313
1131321,116031313
1131322,116031313
1131323,116031313
1131325,116031313
1131326,116031313
1131327,116031313
1131328,116031313
1131330,116031313
1131332,116031313
1131333,116031313
1131334,116031313
1131335,116031313
1131336,116031313
1131337,116031313
1131338,116031313
1131339,116031313
1131340,116031313
1131341,116031313
1131342,116031313
1131343,116031313
1131345,116031313
1131346,116031313
1131347,116031313
1131348,116031313
1131349,116031313
1131350,116031313
1131351,116031313
1131352,116031313
1131401,116031314
1131402,116031314
1131403,116031314
1131404,116031314
1131405,116031314
1131406,116031314
1131407,116031314
1131408,116031314
1131409,116031314
1131410,116031314
1131411,116031314
1131412,116031314
1131413,116031314
1131414,116031314
1131415,116031314
1131416,116031314
1131417,116031314
1131419,116031314
1131420,116031314
1131422,116031314
1131423,116031314
1131501,116031315
1131502,116031315
1131503,116031315
1131504,116031315
1131505,116031315
1131506,116031315
1131507,116031315
1131508,116031315
1131509,116031315
1131510,116031315
1131511,116031315
1131512,116031315
1131513,116031315
1131514,116031315
1131515,116031315
1131516,116031315
1131517,116031315
1131518,116031315
1131519,116031315
1131520,116031315
1131521,116031315
1131522,116031315
1131523,116031315
1131524,116031315
1131525,116031315
1131526,116031315
1131527,116031315
1131528,116031315
1131529,116031315
1131530,116031315
1131531,116031315
1131532,116031315
1131533,116031315
1131534,116031315
1131535,116031315
1131536,116031315
1131537,116031315
1131538,116031315
1131539,116031315
1131540,116031315
1131541,116031315
1131542,116031315
1131543,116031315
1131544,116031315
1131545,116031315
1131546,116031315
1131602,116031316
1131603,116031316
1131605,116031316
1131606,116031316
1131607,116031316
1131608,116031316
1131609,116031316
1131610,116031316
1131611,116031316
1131612,116031316
1131613,116031316
1131614,116031316
1131615,116031316
1131616,116031316
1131617,116031316
1131618,116031316
1131619,116031316
1131620,116031316
1131621,116031316
1131622,116031316
1131623,116031316
1131624,116031316
1131625,116031316
1131626,116031316
1131627,116031316
1131628,116031316
1131629,116031316
1131630,116031316
1131631,116031316
1131632,116031316
1131633,116031316
1131634,116031316
1131635,116031316
1131636,116031316
1131638,116031316
1131639,116031316
1131640,116031316
1131641,116031316
1131701,116031317
1131702,116031317
1131703,116031317
1131705,116031317
1131706,116031317
1131707,116031317
1131708,116031317
1131709,116031317
1131710,116031317
1131711,116031317
1131712,116031317
1131714,116031317
1131715,116031317
1131718,116031317
1131719,116031317
1131720,116031317
1131721,116031317
1131723,116031317
1131724,116031317
1131725,116031317
1131726,116031317
1131727,116031317
1131728,116031317
1131729,116031317
1131730,116031317
1131731,116031317
1131732,116031317
1131733,116031317
1131734,116031317
1131736,116031317
1131737,116031317
1131738,116031317
1131739,116031317
1131742,116031317
1131744,116031317
1131746,116031317
1131801,116031318
1131901,116031319
1131902,116031319
1131903,116031319
1131904,116031319
1131905,116031319
1131906,116031319
1131907,116031319
1131908,116031319
1131909,116031319
1131910,116031319
1131911,116031319
1131912,116031319
1131913,116031319
1131914,116031319
1131915,116031319
1131916,116031319
1131917,116031319
1131918,116031319
1131919,116031319
1131920,116031319
1131921,116031319
1131922,116031319
1131923,116031319
1131924,116031319
1131925,116031319
1131926,116031319
1131927,116031319
1131928,116031319
1131929,116031319
1131930,116031319
1131931,116031319
1131932,116031319
1131933,116031319
1131934,116031319
1131935,116031319
1131936,116031319
1131937,116031319
1131938,116031319
1131939,116031319
1131940,116031319
1131941,116031319
1131942,116031319
1131943,116031319
1131944,116031319
1131945,116031319
1131946,116031319
1131947,116031319
1131948,116031319
1132001,117011320
1132002,117011320
1132102,117011321
1132103,117011321
1132104,117011321
1132105,117011321
1132106,117011321
1132108,117011321
1132109,117011321
1132111,117011321
1132112,117011321
1132113,117011321
1132114,117011321
1132115,117011321
1132116,117011321
1132117,117011321
1132118,117011321
1132119,117011321
1132120,117011321
1132123,117011321
1132201,117011322
1132202,117011322
1132203,117011322
1132204,117011322
1132205,117011322
1132206,117011322
1132207,117011322
1132208,117011322
1132209,117011322
1132210,117011322
1132211,117011322
1132212,117011322
1132213,117011322
1132214,117011322
1132215,117011322
1132216,117011322
1132217,117011322
1132218,117011322
1132220,117011322
1132221,117011322
1132222,117011322
